n_clusters,sample_size,silhouette_score
2,1000,0.6375193071151346
3,1000,0.5163487453199916
4,1000,0.5188171697219741
5,1000,0.519690304055593
6,1000,0.22306261042172407
7,1000,0.16023580774934112
8,1000,0.17738147046921948
9,1000,0.1770312099289452
10,1000,0.1772999867554675
2,10000,0.5832329615434579
3,10000,0.49879873002319075
4,10000,0.506005695660359
5,10000,0.5066167607093128
6,10000,0.230254957239987
7,10000,0.15299319264146086
8,10000,0.17170878810553908
9,10000,0.17235525818042952
10,10000,0.1747435475231738
2,100000,0.5579653189705996
3,100000,0.49623132102101286
4,100000,0.5027936600112705
5,100000,0.5024754815912819
6,100000,0.2283455663553196
7,100000,0.15264813355150267
8,100000,0.16973147719692086
9,100000,0.17105412929856684
10,100000,0.17250337083419137
2,1000000,0.5569433219331332
3,1000000,0.49339602625828627
4,1000000,0.49993823598796566
5,1000000,0.4996686445703364
6,1000000,0.22722608318875645
7,1000000,0.15350022606563593
8,1000000,0.17039288542071362
9,1000000,0.17106962453984298
10,1000000,0.17221776280008746
