region_code,region_name
7200000000000,Тюменская область
6800000000000,Тамбовская область
3300000000000,Владимирская область
5900000000000,Пермский край
8900000000000,Ямало-Ненецкий автономный округ
5800000000000,Пензенская область
1100000000000,Республика Коми
2600000000000,Ставропольский край
1200000000000,Республика Марий Эл
7900000000000,Еврейская автономная область
0900000000000,Карачаево-Черкесская Республика
3200000000000,Брянская область
0300000000000,Республика Бурятия
9900000000000,Байконур
2900000000000,Архангельская область
4100000000000,Камчатский край
7800000000000,Санкт-Петербург
2100000000000,Чувашская Республика
7600000000000,Ярославская область
7100000000000,Тульская область
4800000000000,Липецкая область
5500000000000,Омская область
4200000000000,Кемеровская область
4600000000000,Курская область
7700000000000,Москва
0400000000000,Республика Алтай
3800000000000,Иркутская область
6500000000000,Сахалинская область
2500000000000,Приморский край
1500000000000,Республика Северная Осетия — Алания
3100000000000,Белгородская область
3400000000000,Волгоградская область
8700000000000,Чукотский автономный округ
5600000000000,Оренбургская область
0600000000000,Республика Ингушетия
6900000000000,Тверская область
3700000000000,Ивановская область
8300000000000,Ненецкий автономный округ
1300000000000,Республика Мордовия
1000000000000,Республика Карелия
7300000000000,Ульяновская область
0700000000000,Кабардино-Балкарская Республика
6700000000000,Смоленская область
7000000000000,Томская область
5700000000000,Орловская область
3600000000000,Воронежская область
0800000000000,Республика Калмыкия
1800000000000,Удмуртская Республика
6600000000000,Свердловская область
5000000000000,Московская область
5200000000000,Нижегородская область
3500000000000,Вологодская область
2700000000000,Хабаровский край
6000000000000,Псковская область
5300000000000,Новгородская область
0200000000000,Республика Башкортостан
4700000000000,Ленинградская область
2400000000000,Красноярский край
4000000000000,Калужская область
6400000000000,Саратовская область
5100000000000,Мурманская область
1700000000000,Республика Тыва
6300000000000,Самарская область
1900000000000,Республика Хакасия
4300000000000,Кировская область
3000000000000,Астраханская область
2800000000000,Амурская область
6100000000000,Ростовская область
4500000000000,Курганская область
2000000000000,Чеченская Республика
3900000000000,Калининградская область
6200000000000,Рязанская область
5400000000000,Новосибирская область
4900000000000,Магаданская область
0100000000000,Республика Адыгея
1600000000000,Республика Татарстан
4400000000000,Костромская область
2200000000000,Алтайский край
7500000000000,Забайкальский край
8600000000000,Ханты-Мансийский автономный округ — Югра
1400000000000,Республика Саха (Якутия)
0500000000000,Республика Дагестан
2300000000000,Краснодарский край
7400000000000,Челябинская область
